id;nom;prenom;tel
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted
2;Rhode Island Administrator compressing;array;foreground strategy Metrics
3;Money Market Account invoice;Grocery;capacitor Handcrafted Rubber Car
4;iterate;PNG Avon Auto Loan Account;global Springs Checking Account
5;superstructure parsing Ergonomic;Maine uniform index;Home Loan Account Corporate
6;Wooden;Associate Solomon Islands Dollar;Savings Account Mouse back-end
7;Mill Ergonomic online;Handmade;Handcrafted Plastic Salad Idaho
8;Branding parsing;orange;copying
9;Gibraltar regional;Chair Via;Interactions Bike
10;payment;Borders;Forward overriding Product
